id,name,readible name,instances,eval,color
110,object--traffic-light--general-horizontal-front,Traffic Light - General (Horizontal/Front),True,True,"RGB(250,170,30)"
111,object--traffic-light--general-horizontal-side,Traffic Light - General (Horizontal/Side),True,True,"RGB(250,170,30)"
112,object--traffic-light--general-single-back,Traffic Light - General (Single/Back),True,True,"RGB(250,204,30)"
113,object--traffic-light--general-single-front,Traffic Light - General (Single/Front),True,True,"RGB(250,187,30)"
114,object--traffic-light--general-single-side,Traffic Light - General (Single/Side),True,True,"RGB(250,201,30)"
115,object--traffic-light--general-upright-back,Traffic Light - General (Upright/Back),True,True,"RGB(250,170,30)"
116,object--traffic-light--general-upright-front,Traffic Light - General (Upright/Front),True,True,"RGB(250,170,30)"
117,object--traffic-light--general-upright-side,Traffic Light - General (Upright/Side),True,True,"RGB(250,170,30)"
118,object--traffic-light--other,Traffic Light - Other,True,True,"RGB(250,170,30)"
119,object--traffic-light--pedestrians-back,Traffic Light - Pedestrians (Back),True,True,"RGB(250,213,30)"
120,object--traffic-light--pedestrians-front,Traffic Light - Pedestrians (Front),True,True,"RGB(250,170,30)"
121,object--traffic-light--pedestrians-side,Traffic Light - Pedestrians (Side),True,True,"RGB(250,218,30)"
122,object--traffic-light--warning,Traffic Light - Warning,True,True,"RGB(250,223,30)"
123,object--traffic-sign--ambiguous,Traffic Sign - Ambiguous,True,False,"RGB(192,192,192)"
124,object--traffic-sign--back,Traffic Sign (Back),True,True,"RGB(192,192,192)"
125,object--traffic-sign--direction-back,Traffic Sign - Direction (Back),True,True,"RGB(192,192,192)"
126,object--traffic-sign--direction-front,Traffic Sign - Direction (Front),True,True,"RGB(220,220,0)"
127,object--traffic-sign--front,Traffic Sign (Front),True,True,"RGB(220,220,0)"
128,object--traffic-sign--information-parking,Traffic Sign - Parking,True,True,"RGB(0,0,196)"
129,object--traffic-sign--temporary-back,Traffic Sign - Temporary (Back),True,True,"RGB(192,192,192)"
130,object--traffic-sign--temporary-front,Traffic Sign - Temporary (Front),True,True,"RGB(220,220,0)"
131,object--trash-can,Trash Can,True,True,"RGB(140,140,20)"
132,object--vehicle--bicycle,Bicycle,True,True,"RGB(119,11,32)"
133,object--vehicle--boat,Boat,True,True,"RGB(150,0,255)"
134,object--vehicle--bus,Bus,True,True,"RGB(0,60,100)"
135,object--vehicle--car,Car,True,True,"RGB(0,0,142)"
136,object--vehicle--caravan,Caravan,True,True,"RGB(0,0,90)"
137,object--vehicle--motorcycle,Motorcycle,True,True,"RGB(0,0,230)"
138,object--vehicle--on-rails,On Rails,True,True,"RGB(0,80,100)"
139,object--vehicle--other-vehicle,Other Vehicle,True,True,"RGB(128,64,64)"
140,object--vehicle--trailer,Trailer,True,True,"RGB(0,0,110)"
141,object--vehicle--truck,Truck,True,True,"RGB(0,0,70)"
142,object--vehicle--vehicle-group,Vehicle Group,False,False,"RGB(0,0,142)"
143,object--vehicle--wheeled-slow,Wheeled Slow,True,True,"RGB(0,0,192)"
144,object--water-valve,Water Valve,True,True,"RGB(170,170,170)"
145,object--wire-group,Wire Group,False,True,"RGB(110,110,110)"
146,void--car-mount,Car Mount,False,True,"RGB(32,32,32)"
147,void--dynamic,Dynamic,False,True,"RGB(111,74,0)"
148,void--ego-vehicle,Ego Vehicle,False,True,"RGB(120,10,10)"
149,void--ground,Ground,False,True,"RGB(81,0,81)"
150,void--static,Static,False,True,"RGB(111,111,0)"
151,void--unlabeled,Unlabeled,False,False,"RGB(0,0,0)"
